date,county code,number of cold case,county name
2014-01-01,11110,53,Jongno
2014-01-02,11110,1408,Jongno
2014-01-03,11110,1129,Jongno
2014-01-04,11110,890,Jongno
2014-01-05,11110,134,Jongno
2014-01-06,11110,1489,Jongno
2014-01-07,11110,1025,Jongno
2014-01-08,11110,1038,Jongno
2014-01-09,11110,1003,Jongno
2014-01-10,11110,1112,Jongno
2014-01-11,11110,927,Jongno
2014-01-12,11110,122,Jongno
2014-01-13,11110,1490,Jongno
2014-01-14,11110,1035,Jongno
2014-01-15,11110,1094,Jongno
2014-01-16,11110,1087,Jongno
2014-01-17,11110,1217,Jongno
2014-01-18,11110,951,Jongno
2014-01-19,11110,127,Jongno
2014-01-20,11110,1645,Jongno
2014-01-21,11110,1155,Jongno
2014-01-22,11110,1209,Jongno
2014-01-23,11110,1296,Jongno
2014-01-24,11110,1381,Jongno
2014-01-25,11110,1128,Jongno
2014-01-26,11110,158,Jongno
2014-01-27,11110,2082,Jongno
2014-01-28,11110,1625,Jongno
2014-01-29,11110,2285,Jongno
2014-01-30,11110,260,Jongno
2014-01-31,11110,100,Jongno
2014-02-01,11110,243,Jongno
2014-02-02,11110,315,Jongno
2014-02-03,11110,2647,Jongno
2014-02-04,11110,1476,Jongno
2014-02-05,11110,1564,Jongno
2014-02-06,11110,1582,Jongno
2014-02-07,11110,1708,Jongno
2014-02-08,11110,1353,Jongno
2014-02-09,11110,183,Jongno
2014-02-10,11110,2134,Jongno
2014-02-11,11110,1567,Jongno
2014-02-12,11110,1476,Jongno
2014-02-13,11110,1412,Jongno
2014-02-14,11110,1545,Jongno
2014-02-15,11110,1236,Jongno
2014-02-16,11110,183,Jongno
2014-02-17,11110,2133,Jongno
2014-02-18,11110,1348,Jongno
2014-02-19,11110,1380,Jongno
2014-02-20,11110,1348,Jongno
2014-02-21,11110,1352,Jongno
2014-02-22,11110,1027,Jongno
2014-02-23,11110,131,Jongno
2014-02-24,11110,1817,Jongno
2014-02-25,11110,1098,Jongno
2014-02-26,11110,1177,Jongno
2014-02-27,11110,1198,Jongno
2014-02-28,11110,1309,Jongno
2014-03-01,11110,321,Jongno
2014-03-02,11110,148,Jongno
2014-03-03,11110,1652,Jongno
2014-03-04,11110,1004,Jongno
2014-03-05,11110,1088,Jongno
2014-03-06,11110,1025,Jongno
2014-03-07,11110,1150,Jongno
2014-03-08,11110,927,Jongno
2014-03-09,11110,144,Jongno
2014-03-10,11110,1132,Jongno
