date,county code,number of cold case,county name
2015-01-01,11110.0,56.0,Jongno
2015-01-02,11110.0,1475.0,Jongno
2015-01-03,11110.0,842.0,Jongno
2015-01-04,11110.0,127.0,Jongno
2015-01-05,11110.0,1497.0,Jongno
2015-01-06,11110.0,958.0,Jongno
2015-01-07,11110.0,919.0,Jongno
2015-01-08,11110.0,948.0,Jongno
2015-01-09,11110.0,1069.0,Jongno
2015-01-10,11110.0,772.0,Jongno
2015-01-11,11110.0,104.0,Jongno
2015-01-12,11110.0,1377.0,Jongno
2015-01-13,11110.0,933.0,Jongno
2015-01-14,11110.0,985.0,Jongno
2015-01-15,11110.0,900.0,Jongno
2015-01-16,11110.0,1054.0,Jongno
2015-01-17,11110.0,773.0,Jongno
2015-01-18,11110.0,122.0,Jongno
2015-01-19,11110.0,1307.0,Jongno
2015-01-20,11110.0,893.0,Jongno
2015-01-21,11110.0,936.0,Jongno
2015-01-22,11110.0,979.0,Jongno
2015-01-23,11110.0,1111.0,Jongno
2015-01-24,11110.0,805.0,Jongno
2015-01-25,11110.0,128.0,Jongno
2015-01-26,11110.0,1462.0,Jongno
2015-01-27,11110.0,975.0,Jongno
2015-01-28,11110.0,970.0,Jongno
2015-01-29,11110.0,1051.0,Jongno
2015-01-30,11110.0,1074.0,Jongno
2015-01-31,11110.0,890.0,Jongno
2015-02-01,11110.0,139.0,Jongno
2015-02-02,11110.0,1604.0,Jongno
2015-02-03,11110.0,1056.0,Jongno
2015-02-04,11110.0,1110.0,Jongno
2015-02-05,11110.0,1125.0,Jongno
2015-02-06,11110.0,1240.0,Jongno
2015-02-07,11110.0,993.0,Jongno
2015-02-08,11110.0,126.0,Jongno
2015-02-09,11110.0,1695.0,Jongno
2015-02-10,11110.0,1153.0,Jongno
2015-02-11,11110.0,1176.0,Jongno
2015-02-12,11110.0,1225.0,Jongno
2015-02-13,11110.0,1371.0,Jongno
2015-02-14,11110.0,1069.0,Jongno
2015-02-15,11110.0,138.0,Jongno
2015-02-16,11110.0,1833.0,Jongno
2015-02-17,11110.0,1850.0,Jongno
2015-02-18,11110.0,221.0,Jongno
2015-02-19,11110.0,69.0,Jongno
2015-02-20,11110.0,183.0,Jongno
2015-02-21,11110.0,960.0,Jongno
2015-02-22,11110.0,163.0,Jongno
2015-02-23,11110.0,1791.0,Jongno
2015-02-24,11110.0,1098.0,Jongno
2015-02-25,11110.0,1085.0,Jongno
2015-02-26,11110.0,1046.0,Jongno
2015-02-27,11110.0,1041.0,Jongno
2015-02-28,11110.0,860.0,Jongno
2015-03-01,11110.0,89.0,Jongno
2015-03-02,11110.0,1386.0,Jongno
2015-03-03,11110.0,895.0,Jongno
2015-03-04,11110.0,961.0,Jongno
2015-03-05,11110.0,941.0,Jongno
2015-03-06,11110.0,1020.0,Jongno
2015-03-07,11110.0,840.0,Jongno
2015-03-08,11110.0,152.0,Jongno
2015-03-09,11110.0,1375.0,Jongno
2015-03-10,11110.0,857.0,Jongno
2015-03-11,11110.0,1006.0,Jongno
2015-03-12,11110.0,981.0,Jongno
2015-03-13,11110.0,1111.0,Jongno
2015-03-14,11110.0,947.0,Jongno
2015-03-15,11110.0,146.0,Jongno
2015-03-16,11110.0,1593.0,Jongno
2015-03-17,11110.0,1093.0,Jongno
2015-03-18,11110.0,1112.0,Jongno
2015-03-19,11110.0,1178.0,Jongno
2015-03-20,11110.0,1258.0,Jongno
2015-03-21,11110.0,1106.0,Jongno
2015-03-22,11110.0,167.0,Jongno
2015-03-23,11110.0,1876.0,Jongno
2015-03-24,11110.0,1312.0,Jongno
2015-03-25,11110.0,1225.0,Jongno
2015-03-26,11110.0,1247.0,Jongno
2015-03-27,11110.0,1346.0,Jongno
2015-03-28,11110.0,1158.0,Jongno
2015-03-29,11110.0,172.0,Jongno
2015-03-30,11110.0,1807.0,Jongno
2015-03-31,11110.0,1201.0,Jongno
2015-04-01,11110.0,1153.0,Jongno
2015-04-02,11110.0,1085.0,Jongno
2015-04-03,11110.0,1248.0,Jongno
2015-04-04,11110.0,976.0,Jongno
2015-04-05,11110.0,123.0,Jongno
2015-04-06,11110.0,1603.0,Jongno
2015-04-07,11110.0,1142.0,Jongno
2015-04-08,11110.0,1109.0,Jongno
2015-04-09,11110.0,1059.0,Jongno
2015-04-10,11110.0,1218.0,Jongno
2015-04-11,11110.0,1022.0,Jongno
2015-04-12,11110.0,123.0,Jongno
2015-04-13,11110.0,1665.0,Jongno
2015-04-14,11110.0,964.0,Jongno
2015-04-15,11110.0,1140.0,Jongno
2015-04-16,11110.0,1082.0,Jongno
2015-04-17,11110.0,1152.0,Jongno
2015-04-18,11110.0,961.0,Jongno
2015-04-19,11110.0,125.0,Jongno
2015-04-20,11110.0,1655.0,Jongno
2015-04-21,11110.0,999.0,Jongno
2015-04-22,11110.0,1067.0,Jongno
2015-04-23,11110.0,1105.0,Jongno
2015-04-24,11110.0,1269.0,Jongno
2015-04-25,11110.0,946.0,Jongno
2015-04-26,11110.0,112.0,Jongno
2015-04-27,11110.0,1644.0,Jongno
2015-04-28,11110.0,1074.0,Jongno
2015-04-29,11110.0,1008.0,Jongno
2015-04-30,11110.0,1005.0,Jongno
2015-05-01,11110.0,867.0,Jongno
2015-05-02,11110.0,747.0,Jongno
2015-05-03,11110.0,122.0,Jongno
2015-05-04,11110.0,1409.0,Jongno
2015-05-05,11110.0,135.0,Jongno
2015-05-06,11110.0,1396.0,Jongno
